title,date_enacted,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,top_level_category
Qujing City Elderly Care Service Promotion Regulations,29.10.2021,city,Qujing City,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits']",['Health & Social Work'],[],['Information Processing'],Regulates elderly care services and promotes protection.,FALSE,3_local_regulations/曲靖市养老服务促进条例(FBM-CLI.10.4779582).txt,3_local_regulations
Measures for Implementing the Supervision Law of the People's Congress at All Levels in Tibet Autonomous Region,27.05.2009,provincial,Tibet Autonomous Region,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/西藏自治区实施《中华人民共和国各级人民代表...(FBM-CLI.10.307942).txt,3_local_regulations
Sichuan Province Regulations on the Management of Price Appraisal of Involved Property (Revised in 2009),25.09.2009,provincial,Sichuan Province,FALSE,general,[],"['Security & Management', 'Protection Officer']",[],[],[],,FALSE,3_local_regulations/四川省涉案财物价格鉴证管理条例(2009修正)(FBM-CLI.10.355204).txt,3_local_regulations
Regulations on Grassroots Health Services in Xiamen Special Economic Zone,30.03.2011,city,Xiamen,FALSE,general,[],['Security & Management'],['Health & Social Work'],[],"['Information Collection', 'Information Processing']",Regulates grassroots health service management.,FALSE,3_local_regulations/厦门经济特区基层卫生服务条例(FBM-CLI.10.488816).txt,3_local_regulations
Jiangxi Province Telecommunications Regulations (2018 Revision),27.07.2018,provincial,Jiangxi Province,FALSE,general,"['Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates telecommunications and user data protection.,FALSE,3_local_regulations/江西省电信条例(2018修订)(FBM-CLI.10.1472112).txt,3_local_regulations
Regulations on Administrative Licensing of Heilongjiang Province,17.12.2014,provincial,Heilongjiang Province,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/黑龙江省规范行政许可条例(FBM-CLI.10.1525896).txt,3_local_regulations
Regulations on Promoting the Construction of Social Credit System in Harbin,30.10.2020,city,Harbin,FALSE,general,"['Know & Decide', 'Access & Copy']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates social credit information management.,FALSE,3_local_regulations/哈尔滨市社会信用体系建设促进条例(FBM-CLI.10.1673892).txt,3_local_regulations
Regulations on the Recognition and Protection of Famous Trademarks in Changchun City,01.06.2013,city,Changchun City,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/长春市著名商标认定和保护条例(FBM-CLI.10.722483).txt,3_local_regulations
Measures for Implementing the Organization Law of Villagers' Committees of the People's Republic of China,29.09.2011,provincial,Jiangxi Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/江西省实施《中华人民共和国村民委员会组织法...(FBM-CLI.10.534510).txt,3_local_regulations
Sichuan Provincial Judicial Appraisal Management Regulations (2020 Revision),31.07.2020,provincial,Sichuan Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates judicial appraisal and protects personal privacy.,FALSE,3_local_regulations/四川省司法鉴定管理条例(2020修订)(FBM-CLI.10.1617147).txt,3_local_regulations
Regulations on the Security and Fire Safety Management of Rental Houses in Dongguan City (2023 Revision),30.08.2023,city,Dongguan,FALSE,general,[],"['Security & Management', 'Incident Response & Notification', 'Protection Officer']","['Accommodation & Catering', 'Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing']",Regulates rental house security and fire safety.,FALSE,3_local_regulations/东莞市出租屋治安与消防安全管理条例(2023修订)(FBM-CLI.10.7270968).txt,3_local_regulations
Implementation Measures of the Women's Rights Protection Law of the People's Republic of China in Henan Province,28.04.1994,provincial,Henan Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/河南省实施《中华人民共和国妇女权益保障法》...(FBM-CLI.10.3966).txt,3_local_regulations
Regulations on Promoting Civilized Behavior in Henan Province,31.07.2020,provincial,Henan Province,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/河南省文明行为促进条例(FBM-CLI.10.1618011).txt,3_local_regulations
Tonghua City Internet False Information Governance Measures,29.12.2024,city,Tonghua City,FALSE,general,"['Know & Decide', 'Access & Copy', 'Erasure']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates online false information management.,FALSE,3_local_regulations/通化市网络虚假信息治理办法(FBM-CLI.10.8690260).txt,3_local_regulations
Regulations on Public Safety Technical Prevention Management of Inner Mongolia Autonomous Region (2020 Revision),23.07.2020,provincial,Inner Mongolia Autonomous Region,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates public safety and privacy protection.,FALSE,3_local_regulations/内蒙古自治区公共安全技术防范管理条例(2020修正...(FBM-CLI.10.4236768).txt,3_local_regulations
Taizhou Urban Rail Transit Regulations,31.10.2024,city,Taizhou,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Transportation, Storage & Postal Services']",[],[],Regulates urban rail transit safety and management.,FALSE,3_local_regulations/台州市城市轨道交通条例(FBM-CLI.10.8189401).txt,3_local_regulations
Jinhua City Civilized Behavior Promotion Regulations,01.05.2019,city,Jinhua City,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/金华市文明行为促进条例(FBM-CLI.10.1522597).txt,3_local_regulations
Zhejiang Provincial Anti-Drug Regulations (2022 Revision),18.03.2022,provincial,Zhejiang Province,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/浙江省禁毒条例(2022修订)(FBM-CLI.10.5055298).txt,3_local_regulations
Regulations on Promoting the Integrated Resident Service Card in the Yangtze River Delta Region,29.09.2022,provincial,Anhui Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates integrated resident service card use.,FALSE,3_local_regulations/安徽省推进长三角区域社会保障卡居民服务一卡...(FBM-CLI.10.5572759).txt,3_local_regulations
Shenyang Urban Real Estate Dispute Arbitration Regulations,01.04.1994,city,Shenyang,FALSE,general,[],[],['Real Estate'],[],[],,FALSE,3_local_regulations/沈阳市城市房地产纠纷仲裁条例(FBM-CLI.10.889).txt,3_local_regulations
Ningbo Social Credit Regulations,01.07.2023,city,Ningbo,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates social credit management and protection.,FALSE,3_local_regulations/宁波市社会信用条例(FBM-CLI.10.6878634).txt,3_local_regulations
Procedures for Special Inquiries by the Standing Committee of the People's Congress of Anhui Province,31.10.2013,provincial,Anhui Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/安徽省人民代表大会常务委员会专题询问办法(FBM-CLI.10.789588).txt,3_local_regulations
Regulations on Local Chronicles Work in Jilin Province,01.12.2006,provincial,Jilin Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/吉林省地方志工作条例(FBM-CLI.10.118496).txt,3_local_regulations
Chaozhou Civilization Behavior Promotion Regulations,21.10.2022,city,Chaozhou,FALSE,general,[],[],[],[],[],Promotes civilized behavior and social morality.,FALSE,3_local_regulations/潮州市文明行为促进条例(FBM-CLI.10.5705455).txt,3_local_regulations
Shandong Provincial Legal Aid Regulations,22.12.2000,provincial,Shandong Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/山东省法律援助条例(FBM-CLI.10.20180).txt,3_local_regulations
Henan Province Postal Regulations,29.11.2012,provincial,Henan Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates postal services and user privacy.,FALSE,3_local_regulations/河南省邮政条例(2012)(FBM-CLI.10.1669796).txt,3_local_regulations
Regulations on Safety Prevention and Injury Accident Handling for Students in Primary and Secondary Schools in Fuzhou,28.03.2007,provincial,Fujian Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification']",['Education'],"['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulations to ensure student safety and privacy.,FALSE,3_local_regulations/福州市中小学校学生安全防范和伤害事故处理条...(FBM-CLI.10.152476).txt,3_local_regulations
Regulations on Supervising Judicial Organs of Hebei Province,25.09.2015,provincial,Hebei Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/河北省人民代表大会常务委员会关于监督司法机...(FBM-CLI.10.1123098).txt,3_local_regulations
Regulations on Petition Work in Tianjin,21.10.2005,city,Tianjin,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/天津市信访工作若干规定(FBM-CLI.10.67570).txt,3_local_regulations
Implementation Measures of the Law on the Protection of Minors of the People's Republic of China in Chongqing,29.05.1998,city,Chongqing,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Education', 'Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects minors' rights and personal information.,FALSE,3_local_regulations/重庆市实施《中华人民共和国未成年人保护法》...(FBM-CLI.10.19876).txt,3_local_regulations
Shanghai Housing Leasing Regulations,23.11.2022,city,Shanghai,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Real Estate'],[],['Information Processing'],Regulates housing leasing and protects tenant rights.,FALSE,3_local_regulations/上海市住房租赁条例(FBM-CLI.10.5659938).txt,3_local_regulations
Decision on Amending the Jilin City Statistical Management Regulations,01.05.2002,city,Jilin City,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/吉林市人民代表大会常务委员会关于修改《吉林...(FBM-CLI.10.41595).txt,3_local_regulations
Regulations on Electricity Supply and Use in Ningxia Hui Autonomous Region,05.08.2011,provincial,Ningxia Hui Autonomous Region,TRUE,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],Regulates electricity supply and user rights.,FALSE,3_local_regulations/宁夏回族自治区供用电条例(FBM-CLI.10.520833).txt,3_local_regulations
Tangshan Social Credit Construction Promotion Regulations,31.10.2023,city,Tangshan,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulations to enhance social credit system.,FALSE,3_local_regulations/唐山市社会信用建设促进条例(FBM-CLI.10.7285652).txt,3_local_regulations
Wenzhou Home-based Elderly Care Service Promotion Regulations,01.07.2022,city,Wenzhou,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits']",['Health & Social Work'],[],[],Regulates home-based elderly care services.,FALSE,3_local_regulations/温州市居家养老服务促进条例(FBM-CLI.10.5461819).txt,3_local_regulations
Guizhou Province Minor Protection Regulations (2021 Revision),29.07.2021,provincial,Guizhou Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulations to protect minors' rights and privacy.,FALSE,3_local_regulations/贵州省未成年人保护条例(2021修订)(FBM-CLI.10.4215905).txt,3_local_regulations
Regulations on the Care and Protection of Rural Left-behind Children in Longnan City,12.03.2021,city,Longnan City,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Education', 'Health & Social Work']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Protects rights of rural left-behind children.,FALSE,3_local_regulations/陇南市农村留守儿童关爱保护条例(FBM-CLI.10.4086024).txt,3_local_regulations
Heilongjiang Province Minor Protection Regulations (2009 Revision),20.08.2009,provincial,Heilongjiang Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulations to protect minors' rights and privacy.,FALSE,3_local_regulations/黑龙江省未成年人保护条例(2009修订)(FBM-CLI.10.335340).txt,3_local_regulations
Wuhan Municipal Regulation on Promoting Diversified Dispute Resolution,01.09.2019,city,Wuhan,FALSE,general,[],[],[],[],[],Promotes effective dispute resolution mechanisms.,FALSE,3_local_regulations/武汉市多元化解纠纷促进条例(FBM-CLI.10.1532077).txt,3_local_regulations
Regulations on Blood Donation in Hebei Province,27.07.2023,provincial,Hebei Province,FALSE,general,"['Know & Decide', 'Access & Copy']","['Security & Management', 'Incident Response & Notification']",['Health & Social Work'],[],"['Information Collection', 'Information Processing']",Regulates blood donation and protects donor information.,FALSE,3_local_regulations/河北省献血条例(FBM-CLI.10.7055023).txt,3_local_regulations
Regulations on Donations in Shanghai,07.06.2012,city,Shanghai,FALSE,general,"['Know & Decide', 'Access & Copy']","['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates donation activities and protects donor rights.,FALSE,3_local_regulations/上海市募捐条例(FBM-CLI.10.613875).txt,3_local_regulations
Regulations on Auxiliary Police Personnel of Public Security Organs in Zhejiang Province,29.09.2022,provincial,Zhejiang Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates auxiliary police personnel management.,FALSE,3_local_regulations/浙江省公安机关警务辅助人员条例(FBM-CLI.10.5573124).txt,3_local_regulations
Heihe City Grid Management Service Regulations,22.03.2023,city,Heihe City,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates grid management and data collection.,FALSE,3_local_regulations/黑河市网格化管理服务条例(FBM-CLI.10.6912479).txt,3_local_regulations
Shenzhen Special Economic Zone Petition Regulations,27.06.2011,city,Shenzhen,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates petition rights and processes.,FALSE,3_local_regulations/深圳经济特区信访条例(FBM-CLI.10.526584).txt,3_local_regulations
Regulations on Volunteer Service of Guangxi Zhuang Autonomous Region,24.07.2020,provincial,Guangxi Zhuang Autonomous Region,FALSE,general,"['自愿选择参加志愿服务活动，拒绝提供违背自身意愿、超出自身能力或者约定范围的志愿服务', '获得所参加志愿服务活动真实、准确、完整的信息', '获得所参加志愿服务活动相关的专业知识和技能培训，以及必要的条件和保障', '要求志愿服务组织帮助解决在志愿服务中遇到的困难', '对志愿服务活动提出意见和建议', '无偿获得本人的志愿服务记录证明', '在自身有志愿服务需求时，优先获得志愿服务组织和其他志愿者提供的志愿服务', '未经志愿者本人同意，其个人信息不得被公开或者泄露', '自愿取消注册志愿者身份，自愿退出志愿服务组织']","['维护志愿者的合法权益，为志愿者参加志愿服务活动提供相关的知识信息、技能培训和安全教育、卫生、医疗等必要条件和保障', '在志愿服务信息系统如实记录志愿者个人基本信息，以及志愿服务项目、内容、时间、培训、表彰奖励、考核评价等情况的信息']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates volunteer rights and responsibilities.,FALSE,3_local_regulations/广西壮族自治区志愿服务条例(FBM-CLI.10.1614851).txt,3_local_regulations
Regulations on Ensuring Lawyers' Execution of Duties in Beijing,14.09.1991,city,Beijing,FALSE,general,[],"['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates lawyer duties and protects client privacy.,FALSE,3_local_regulations/北京市保障律师执行职务若干规定(FBM-CLI.10.39).txt,3_local_regulations
Regulations on Promoting Civilized Behavior in Ganzhou City,28.08.2020,city,Ganzhou City,TRUE,general,[],[],[],[],[],Promotes civilized behavior and social norms.,FALSE,3_local_regulations/赣州市文明行为促进条例(FBM-CLI.10.1660907).txt,3_local_regulations
Zhaoqing City Civilized Behavior Promotion Regulations,11.09.2019,city,Zhaoqing,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/肇庆市文明行为促进条例(FBM-CLI.10.1553141).txt,3_local_regulations
Liaoning Province Telecommunications Management Regulations (2019 Revision),30.05.2019,provincial,Liaoning Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates telecommunications and user data protection.,FALSE,3_local_regulations/辽宁省电信管理条例(2019修正)(FBM-CLI.10.1524179).txt,3_local_regulations
Dalian Medical Dispute Prevention and Handling Regulations,01.10.2022,city,Dalian,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulations for handling medical disputes.,FALSE,3_local_regulations/大连市医疗纠纷预防和处理条例(FBM-CLI.10.5513106).txt,3_local_regulations
Shandong Province Volunteer Service Regulations,03.12.2021,provincial,Shandong Province,FALSE,general,"['自愿加入或者退出志愿服务组织', '自主选择参加志愿服务活动', '拒绝提供超出自身能力或者约定范围的志愿服务', '获得志愿服务相关信息和必要的物质条件、安全保障', '参加志愿服务相关知识、技能培训和安全教育', '无偿获得志愿服务记录证明', '对志愿服务工作提出意见、建议', '自身有志愿服务需求时获得志愿服务', '法律、法规规定的其他权利']","['尊重志愿服务对象的人格尊严，不得侵害志愿服务对象的个人隐私', '保守志愿服务中知悉的国家秘密、商业秘密', '履行志愿服务承诺，按照约定提供志愿服务']",[],[],[],Regulates volunteer service and protects personal information.,FALSE,3_local_regulations/山东省志愿服务条例(FBM-CLI.10.4782816).txt,3_local_regulations
Regulations on the Protection of Consumer Rights and Interests in Guangxi Zhuang Autonomous Region (2017 Revision),01.12.2017,provincial,Guangxi Zhuang Autonomous Region,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Consumer rights protection and data management.,FALSE,3_local_regulations/广西壮族自治区消费者权益保护条例(2017修订)(FBM-CLI.10.1422805).txt,3_local_regulations
Jinan City 12345 Citizen Service Hotline Regulations,27.07.2018,city,Jinan,FALSE,general,"['Know & Decide', 'Access & Copy']","['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates citizen hotline and data protection.,FALSE,3_local_regulations/济南市12345市民服务热线条例(FBM-CLI.10.1470842).txt,3_local_regulations
Regulations on the Management of the Surrounding Environment of Primary and Secondary Schools in Suihua City,24.11.2022,city,Suihua City,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulates environment around schools for student safety.,FALSE,3_local_regulations/绥化市中小学校校园周边环境管理条例(FBM-CLI.10.5700609).txt,3_local_regulations
Regulations on Emergency Response to Public Health Emergencies in Zhuhai Special Economic Zone,27.09.2021,city,Zhuhai,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']",['Health & Social Work'],[],"['Information Collection', 'Information Processing']",Regulates public health emergency response measures.,FALSE,3_local_regulations/珠海经济特区突发公共卫生事件应急条例(FBM-CLI.10.4285161).txt,3_local_regulations
Jilin Province Charity Regulations,31.07.2024,provincial,Jilin Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates charity activities and protects participants' rights.,FALSE,3_local_regulations/吉林省慈善条例(FBM-CLI.10.7697128).txt,3_local_regulations
Regulations on Convenience Police Stations in Xinjiang Uygur Autonomous Region,27.05.2022,provincial,Xinjiang Uygur Autonomous Region,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates police station operations and public safety.,FALSE,3_local_regulations/新疆维吾尔自治区便民警务站条例(FBM-CLI.10.5124972).txt,3_local_regulations
Regulations on the Prevention and Handling of Medical Disputes in Jiangsu Province,30.03.2017,provincial,Jiangsu Province,FALSE,general,['Access & Copy'],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],[],"['Information Collection', 'Information Processing']",Regulates medical dispute prevention and resolution.,FALSE,3_local_regulations/江苏省医疗纠纷预防与处理条例(FBM-CLI.10.1267761).txt,3_local_regulations
Jilin Province Maternal and Infant Health Regulations,17.01.2000,provincial,Jilin Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Compliance Audits']",['Health & Social Work'],['Parental Consent for Minors'],"['Information Collection', 'Information Processing']",Regulations to protect maternal and infant health.,FALSE,3_local_regulations/吉林省母婴保健条例(FBM-CLI.10.16865).txt,3_local_regulations
Shenzhen Special Economic Zone Personal Bankruptcy Regulations,26.08.2020,city,Shenzhen,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/深圳经济特区个人破产条例(FBM-CLI.10.1627415).txt,3_local_regulations
Tibet Autonomous Region People's Mediation Regulations,22.09.2023,provincial,Tibet Autonomous Region,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']",[],[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates mediation processes and protects privacy.,FALSE,3_local_regulations/西藏自治区人民调解条例(FBM-CLI.10.7182157).txt,3_local_regulations
Regulations on the Prevention of Juvenile Crime in Jiangsu Province (2024 Revision),31.07.2024,provincial,Jiangsu Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Education', 'Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects minors' rights and personal information.,FALSE,3_local_regulations/江苏省预防未成年人犯罪条例(2024修订)(FBM-CLI.10.7702163).txt,3_local_regulations
Regulations on the Supervision of the Standing Committee of the People's Congress at All Levels of Guizhou Province,23.11.2007,provincial,Guizhou Province,FALSE,general,[],[],[],[],[],,FALSE,3_local_regulations/贵州省各级人民代表大会常务委员会监督条例(...(FBM-CLI.10.207176).txt,3_local_regulations
Regulations on the Management of Elderly Care Institutions in Hainan Province,30.05.2014,provincial,Hainan Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],[],['Information Processing'],Regulates elderly care institutions' management.,FALSE,3_local_regulations/海南省养老机构管理条例(FBM-CLI.10.865318).txt,3_local_regulations
Regulations on Volunteer Service in Xiamen Special Economic Zone,11.12.2020,city,Xiamen,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates volunteer service and protects personal information.,FALSE,3_local_regulations/厦门经济特区志愿服务条例(FBM-CLI.10.1664686).txt,3_local_regulations
Guangdong Province Minor Protection Regulations,28.11.2008,provincial,Guangdong Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Next of Kin']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Education', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Protects minors' rights and privacy.,FALSE,3_local_regulations/广东省未成年人保护条例(FBM-CLI.10.285621).txt,3_local_regulations
Regulations on Letters and Visits in Anhui Province (Revised in 2005),16.12.2005,provincial,Anhui Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates public petitions and protects rights.,FALSE,3_local_regulations/安徽省信访条例(2005修订)(FBM-CLI.10.69166).txt,3_local_regulations
Regulations on Home-based Elderly Care Services in Haikou,01.07.2023,city,Haikou,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits']",['Health & Social Work'],[],[],Regulates elderly care services and protects privacy.,FALSE,3_local_regulations/海口市居家养老服务条例(FBM-CLI.10.6885926).txt,3_local_regulations
Regulations on Promoting Diversified Dispute Resolution in Anhui Province (2022 Revision),23.11.2018,provincial,Anhui Province,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/安徽省多元化解纠纷促进条例(2022修正)(FBM-CLI.10.5053205).txt,3_local_regulations
Regulations on Promoting Civilized Behavior in Haixi Mongolian and Tibetan Autonomous Prefecture,01.07.2021,provincial,Qinghai Province,TRUE,general,[],[],[],[],[],,FALSE,3_local_regulations/海西蒙古族藏族自治州文明行为促进条例(FBM-CLI.10.4201684).txt,3_local_regulations
Shandong Province Body Donation Regulations,12.01.2003,provincial,Shandong Province,FALSE,general,['Next of Kin'],['Security & Management'],['Health & Social Work'],[],"['Information Collection', 'Information Processing']",Regulates body donation for medical purposes.,FALSE,3_local_regulations/山东省遗体捐献条例(FBM-CLI.10.42108).txt,3_local_regulations
