title,date_enacted,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,top_level_category
"Decision of the Standing Committee of Shandong Provincial People's Congress on Amending the Regulations on Handling Proposals, Criticisms and Opinions of Deputies to the Shandong Provincial People's Congress (2017)",2017-05-19,provincial,Shandong Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/山东省人民代表大会常务委员会关于修改《山东...(FBM-CLI.10.1280309).txt,privacy
Hubei Province Social Credit Information Management Regulation,2017-03-30,provincial,Hubei Province,False,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations', 'Financial Intermediation', 'Information Transmission, Software & IT Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates social credit info to protect privacy and data security,False,privacy/3_local_regulations/湖北省社会信用信息管理条例(FBM-CLI.10.1268078).txt,privacy
Chengdu Urban Rail Transit Management Regulations,2017-03-29,city,Chengdu City,True,general,[],[],"['Transportation, Storage & Postal Services']",[],[],,False,privacy/3_local_regulations/成都市城市轨道交通管理条例(FBM-CLI.10.1271596).txt,privacy
Guangdong Province Legal Aid Regulations (2006),2006-09-28,provincial,Guangdong Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/广东省法律援助条例(2006)(FBM-CLI.10.144306).txt,privacy
Yangjiang City Civilized Behavior Promotion Regulations,2022-11-04,city,Yangjiang City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/阳江市文明行为促进条例(FBM-CLI.10.6501749).txt,privacy
Zhuhai City Land Management Regulations (2010 Amendment),2007-07-01,city,Zhuhai City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/珠海市土地管理条例(2010修正)(FBM-CLI.10.1230639).txt,privacy
Shandong Provincial Local Tax Revenue Protection Regulation,2010-03-31,provincial,Shandong Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/山东省地方税收保障条例(FBM-CLI.10.400723).txt,privacy
Shenzhen Special Economic Zone Health Regulations,2020-10-29,city,Shenzhen City,False,sensitive,"['Access & Copy', 'Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']","['Health & Social Work', 'Education']",[],"['Information Processing', 'Information Dissemination']",Regulates health data protection and resident health management,False,privacy/3_local_regulations/深圳经济特区健康条例(FBM-CLI.10.1648305).txt,privacy
Ningxia Hui Autonomous Region Postal Regulations (2012),2012-09-25,provincial,Ningxia Hui Autonomous Region,False,general,[],"['Security & Management', 'Incident Response & Notification']","['Transportation, Storage & Postal Services']",[],"['Information Processing', 'Information Dissemination']",Regulates postal service security and user information protection.,False,privacy/3_local_regulations/宁夏回族自治区邮政条例(2012)(FBM-CLI.10.669805).txt,privacy
Shanghai Consumer Rights Protection Regulation (2014 Amendment),2014-11-20,city,Shanghai City,False,general,"['Know & Decide', 'Access & Copy', 'Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']","['Wholesale & Retail Trade', 'Information Transmission, Software & IT Services', 'Financial Intermediation', 'Education']",[],"['Information Collection', 'Information Processing']",Protects consumer personal information and rights,False,privacy/3_local_regulations/上海市消费者权益保护条例(2014修正)(FBM-CLI.10.935133).txt,privacy
Measures for the Implementation of the Law on the Protection of Women's Rights and Interests in Shandong Province (1997 Amendment),1997-10-15,provincial,Shandong Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/山东省实施《中华人民共和国妇女权益保障法》...(FBM-CLI.10.42421).txt,privacy
Shenzhen Special Economic Zone Road Traffic Safety Management Regulations (2019 Amendment),2011-10-31,city,Shenzhen City,True,general,[],[],"['Transportation, Storage & Postal Services', 'Public Administration, Social Security & Social Organizations']",[],[],,False,privacy/3_local_regulations/深圳经济特区道路交通安全管理条例(2019修正)(FBM-CLI.10.1537157).txt,privacy
Shandong Province Consumer Rights Protection Regulation,2008-08-01,provincial,Shandong Province,False,general,"['Know & Decide', 'Access & Copy', 'Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification', 'Outsourced Processing']","['Wholesale & Retail Trade', 'Health & Social Work', 'Accommodation & Catering', 'Transportation, Storage & Postal Services', 'Financial Intermediation', 'Education', 'Real Estate', 'Resident Services, Repair & Other Services', 'Culture, Sports & Entertainment', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects consumer rights including personal data privacy,False,privacy/3_local_regulations/山东省消费者权益保护条例(FBM-CLI.10.246086).txt,privacy
Changsha City Charity Promotion Regulations,2012-06-26,city,Changsha City,True,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],"Regulates charity activities, protects privacy and promotes charity",False,privacy/3_local_regulations/长沙市慈善事业促进条例(FBM-CLI.10.653893).txt,privacy
Guangzhou Minor Protection Regulations (2015 Amendment),2013-06-26,city,Guangzhou City,False,sensitive,[],[],"['Education', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],"['Information Collection', 'Information Processing']",Protects minors' rights and sensitive data in Guangzhou,False,privacy/3_local_regulations/广州市未成年人保护规定(2015修正)(FBM-CLI.10.1427638).txt,privacy
Nanchong Property Management Regulations (2024 Revision),2024-04-29,city,Nanchong City,False,general,"['Know & Decide', 'Access & Copy', 'Convenient Exercise & Remedy']",[],"['Resident Services, Repair & Other Services']",[],"['Information Collection', 'Information Processing']",Regulates property management to protect personal information privacy.,False,privacy/3_local_regulations/南充市物业管理条例(2024修订)(FBM-CLI.10.7553079).txt,privacy
Zibo City Statistics Regulations,2007-10-30,city,Zibo City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/淄博市统计条例(FBM-CLI.10.192958).txt,privacy
Measures for the Implementation of the Consumer Rights Protection Law of the People's Republic of China in Tibet Autonomous Region (2017 Revision),2017-07-28,provincial,Tibet Autonomous Region,False,general,"['Know & Decide', 'Access & Copy', 'Erasure', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']","['Wholesale & Retail Trade', 'Information Transmission, Software & IT Services', 'Transportation, Storage & Postal Services', 'Accommodation & Catering', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects consumer personal information and privacy rights,False,privacy/3_local_regulations/西藏自治区实施《中华人民共和国消费者权益保...(FBM-CLI.10.1504452).txt,privacy
Jiangsu Province Tourism Regulations,2015-12-04,provincial,Jiangsu Province,True,general,[],[],"['Accommodation & Catering', 'Transportation, Storage & Postal Services', 'Wholesale & Retail Trade', 'Information Transmission, Software & IT Services', 'Culture, Sports & Entertainment']",[],[],,False,privacy/3_local_regulations/江苏省旅游条例(FBM-CLI.10.1142559).txt,privacy
Measures for the Implementation of the Red Cross Society Law of the People's Republic of China in Wuhan City (2022 Revision),2022-05-08,city,Wuhan City,True,general,[],[],['Health & Social Work'],[],[],,False,privacy/3_local_regulations/武汉市实施《中华人民共和国红十字会法》办法...(FBM-CLI.10.5074972).txt,privacy
Jiangsu Province Special Industry Public Security Management Regulations (2017 Amendment),2009-11-23,provincial,Jiangsu Province,False,general,[],"['Security & Management', 'Incident Response & Notification']","['Accommodation & Catering', 'Wholesale & Retail Trade', 'Leasing & Business Services']",[],"['Information Collection', 'Information Processing']",Regulates data collection and security in special industries,False,privacy/3_local_regulations/江苏省特种行业治安管理条例(2017修正)(FBM-CLI.10.1280469).txt,privacy
Henan Province Administrative Agency Law Enforcement Regulations (2010 Amendment),1994-01-01,provincial,Henan Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/河南省行政机关执法条例(2010修正)(FBM-CLI.10.5527652).txt,privacy
Jiangsu Province Legal Aid Regulations (2024 Revision),2024-09-27,provincial,Jiangsu Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/江苏省法律援助条例(2024修订)(FBM-CLI.10.7831436).txt,privacy
Hunan Province Fundraising Regulations (2024 Revision),2011-05-01,provincial,Hunan Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/湖南省募捐条例(2024修正)(FBM-CLI.10.8045212).txt,privacy
Beijing Municipal Statistics Regulations,2015-11-27,city,Beijing City,False,general,[],[],[],[],[],Regulates statistical data collection and protection in Beijing,False,privacy/3_local_regulations/北京市统计条例(FBM-CLI.10.1140021).txt,privacy
Shaanxi Province Implementation Measures for the Family Education Promotion Law of the People's Republic of China,2025-01-09,provincial,Shaanxi Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/陕西省实施《中华人民共和国家庭教育促进法》...(FBM-CLI.10.8452888).txt,privacy
Changzhou Home-based Elderly Care Service Regulation,2024-12-31,city,Changzhou City,True,general,[],[],"['Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],[],Promotes elderly care services without specific privacy measures,False,privacy/3_local_regulations/常州市居家养老服务条例(FBM-CLI.10.8479393).txt,privacy
Guangzhou Municipality Regulation on Law-Based Administration (2022 Revision),2022-10-01,city,Guangzhou City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/广州市依法行政条例(2022修订)(FBM-CLI.10.5510934).txt,privacy
Hangzhou Legal Aid Regulations (2004 Amendment),1999-05-21,city,Hangzhou City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/杭州市法律援助条例(2004修正)(FBM-CLI.10.60810).txt,privacy
"Rules on Handling Proposals, Criticisms, and Opinions of the People's Congress Representatives of Xinjiang Uygur Autonomous Region",2018-11-30,provincial,Xinjiang Uygur Autonomous Region,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/新疆维吾尔自治区人民代表大会代表建议、批评...(FBM-CLI.10.1521563).txt,privacy
Shandong Province Surveying and Mapping Geographic Information Regulation,2019-11-29,provincial,Shandong Province,True,general,[],[],"['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']",[],[],Regulates surveying and mapping data management and security,False,privacy/3_local_regulations/山东省测绘地理信息条例(FBM-CLI.10.1550058).txt,privacy
Shanghai Regulations on Promoting the Construction of International Commercial Arbitration Center,2023-11-22,city,Shanghai City,True,general,[],[],['Legal Services'],[],[],,False,privacy/3_local_regulations/上海市推进国际商事仲裁中心建设条例(FBM-CLI.10.7270924).txt,privacy
Measures for the Implementation of the Law on the Protection of Women's Rights and Interests in Guizhou Province (2024 Revision),2024-03-26,provincial,Guizhou Province,True,general,[],[],"['Health & Social Work', 'Education', 'Public Administration, Social Security & Social Organizations']",[],[],Promotes women's rights and privacy protection,False,privacy/3_local_regulations/贵州省实施《中华人民共和国妇女权益保障法》...(FBM-CLI.10.7434440).txt,privacy
Guangdong Province Market Supervision Regulations,2016-07-28,provincial,Guangdong Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/广东省市场监管条例(FBM-CLI.10.1208293).txt,privacy
Zhejiang Province Audit Regulations (2023 Revision),2023-07-28,provincial,Zhejiang Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/浙江省审计条例(2023修订)(FBM-CLI.10.7055216).txt,privacy
Wuwei City Civilized Behavior Promotion Regulations,2022-11-01,city,Wuwei City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/武威市文明行为促进条例(FBM-CLI.10.5569553).txt,privacy
Shanghai Regulations on Promoting the Construction of International Financial Center,2009-06-25,city,Shanghai City,True,general,[],[],['Financial Intermediation'],[],[],,False,privacy/3_local_regulations/上海市推进国际金融中心建设条例(FBM-CLI.10.320236).txt,privacy
Yunnan Province Work Safety Regulations,2007-11-29,provincial,Yunnan Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/云南省安全生产条例(FBM-CLI.10.206208).txt,privacy
Handan City Elevator Safety Management Regulations,2019-07-01,city,Handan City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/邯郸市电梯安全管理条例(FBM-CLI.10.1526932).txt,privacy
Decision of the Standing Committee of the Jiangxi Provincial People's Congress on Amending the Jiangxi Province Medical Dispute Prevention and Handling Regulations and Other 11 Local Regulations,2021-07-28,provincial,Jiangxi Province,False,general,"['Access & Copy', 'Next of Kin']",[],"['Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],[],Protects patient privacy and regulates medical dispute handling,False,privacy/3_local_regulations/江西省人民代表大会常务委员会关于修改《江西...(FBM-CLI.10.4225144).txt,privacy
Wuhan Legal Aid Regulations (2006 Amendment),2006-07-21,city,Wuhan City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/武汉市法律援助条例(2006修正)(FBM-CLI.10.221203).txt,privacy
Chengdu Urban Rail Transit Management Regulations (2023 Amendment),2023-11-29,city,Chengdu City,True,general,[],[],"['Transportation, Storage & Postal Services']",[],[],,False,privacy/3_local_regulations/成都市城市轨道交通管理条例(2023修正)(FBM-CLI.10.7293755).txt,privacy
Inner Mongolia Autonomous Region Minor Protection Regulations (2010 Revision),2010-12-02,provincial,Inner Mongolia Autonomous Region,True,general,[],[],[],[],[],Protects minors' rights without specific data protection measures,False,privacy/3_local_regulations/内蒙古自治区未成年人保护条例(2010修订)(FBM-CLI.10.483410).txt,privacy
Shenzhen Special Economic Zone Environmental Protection Ordinance (2009 Revision),2009-07-21,city,Shenzhen City,True,general,[],[],"['Water Conservancy, Environment & Public Facilities Management', 'Public Administration, Social Security & Social Organizations', 'Manufacturing', 'Agriculture, Forestry, Animal Husbandry & Fishery']",[],[],,False,privacy/3_local_regulations/深圳经济特区环境保护条例(2009修订)(FBM-CLI.10.334982).txt,privacy
Guizhou Province Contract Supervision Regulation (2021 Amendment),2021-09-29,provincial,Guizhou Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/贵州省合同监督条例(2021修正)(FBM-CLI.10.4283690).txt,privacy
Regulations on the Prevention and Handling of Personal Injury Accidents of Primary and Secondary School Students in Hefei City (2018 Revision),2008-08-29,city,Hefei City,True,general,[],[],['Education'],[],[],,False,privacy/3_local_regulations/合肥市中小学校学生人身伤害事故预防与处理条...(FBM-CLI.10.1462757).txt,privacy
Shandong Province Implementation Measures for the Law on the Protection of Women's Rights and Interests of the People's Republic of China,1994-01-17,provincial,Shandong Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/山东省实施《中华人民共和国妇女权益保障法》...(FBM-CLI.10.2961).txt,privacy
Langfang City Volunteer Service Promotion Regulation,2023-06-01,city,Langfang City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/廊坊市志愿服务促进条例(FBM-CLI.10.6878624).txt,privacy
Measures for the Implementation of the Administrative Reconsideration Law of the People's Republic of China in Hunan Province,2001-07-30,provincial,Hunan Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/湖南省实施《中华人民共和国行政复议法》办法(FBM-CLI.10.22904).txt,privacy
Henan Province Minor Protection Regulation,2010-11-04,provincial,Henan Province,True,sensitive,[],[],"['Education', 'Public Administration, Social Security & Social Organizations']",['Parental Consent for Minors'],[],Protects minors' rights and privacy in Henan Province,False,privacy/3_local_regulations/河南省未成年人保护条例(FBM-CLI.10.466635).txt,privacy
Hohhot City Immediate Complaint Handling Work Regulations,2022-11-22,city,Hohhot City,False,general,"['Know & Decide', 'Convenient Exercise & Remedy']",['Security & Management'],"['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates complaint handling and protects personal privacy,False,privacy/3_local_regulations/呼和浩特市接诉即办工作条例(FBM-CLI.10.5703750).txt,privacy
Guang'an City Civilized Behavior Promotion Regulation,2022-12-01,city,Guang'an City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/广安市文明行为促进条例(FBM-CLI.10.5585270).txt,privacy
Qinghai Province Optimization of Business Environment Regulation,2021-07-28,provincial,Qinghai Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/青海省优化营商环境条例(FBM-CLI.10.4226630).txt,privacy
Heilongjiang Province Regulation on Standardizing Administrative Law Enforcement (2000),2000-12-14,provincial,Heilongjiang Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/黑龙江省规范行政执法条例(2000)(FBM-CLI.10.21110).txt,privacy
Inner Mongolia Autonomous Region Judicial Appraisal Management Regulations,2025-02-13,provincial,Inner Mongolia Autonomous Region,True,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],"Regulates judicial appraisal, limited privacy provisions",False,privacy/3_local_regulations/内蒙古自治区司法鉴定管理条例(FBM-CLI.10.8571524).txt,privacy
Jiangxi Province Volunteer Service Regulations,2021-07-28,provincial,Jiangxi Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/江西省志愿服务条例(FBM-CLI.10.4225223).txt,privacy
Shuangyashan City Civilized Behavior Promotion Regulation,2023-09-01,city,Shuangyashan City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/双鸭山市文明行为促进条例(FBM-CLI.10.7157161).txt,privacy
Regulations on the Supervision of Standing Committees of People's Congresses at All Levels in Anhui Province,2002-01-30,provincial,Anhui Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/安徽省各级人民代表大会常务委员会监督条例(FBM-CLI.10.37036).txt,privacy
Decision of the Standing Committee of the Baotou Municipal People's Congress on Amending the 'Baotou Minor Protection Regulations' and Other Five Local Regulations,2024-06-06,city,Baotou City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/包头市人民代表大会常务委员会关于修改《包头...(FBM-CLI.10.7543079).txt,privacy
Nantong City Civilized Behavior Promotion Regulations,2022-06-01,city,Nantong City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/南通市文明行为促进条例(FBM-CLI.10.4851886).txt,privacy
Yangzhou Residential Property Management Regulations,2020-08-28,city,Yangzhou City,True,general,[],[],"['Resident Services, Repair & Other Services']",[],[],,False,privacy/3_local_regulations/扬州市住宅物业管理条例(FBM-CLI.10.1639888).txt,privacy
Guangdong Province Provisions on Lawyers Performing Their Duties,1987-08-27,provincial,Guangdong Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/广东省关于律师执行职务的若干规定(FBM-CLI.10.1810).txt,privacy
Heilongjiang Province Tax Guarantee Regulation,2017-04-07,provincial,Heilongjiang Province,False,general,[],['Security & Management'],"['Public Administration, Social Security & Social Organizations', 'Financial Intermediation']",[],"['Information Collection', 'Information Processing']",Regulates tax data exchange and confidentiality,False,privacy/3_local_regulations/黑龙江省税收保障条例(FBM-CLI.10.1269334).txt,privacy
Guangdong Province Petition Regulations,2014-03-27,provincial,Guangdong Province,False,general,"['Know & Decide', 'Access & Copy', 'Convenient Exercise & Remedy']",['Security & Management'],"['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates petition process and protects petitioners' privacy,False,privacy/3_local_regulations/广东省信访条例(FBM-CLI.10.834780).txt,privacy
Suzhou Disabled Persons Protection Regulation,2020-01-01,city,Suzhou City,True,sensitive,[],[],"['Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],[],Supports disabled persons' rights and privacy protection,False,privacy/3_local_regulations/苏州市残疾人保障条例(FBM-CLI.10.1540171).txt,privacy
Guangxi Zhuang Autonomous Region Tax Protection Regulation,2017-07-28,provincial,Guangxi Zhuang Autonomous Region,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/广西壮族自治区税收保障条例(FBM-CLI.10.1400815).txt,privacy
Regulations on Public Safety Management of Unmanned Aerial Vehicles in Zhejiang Province,2019-03-28,provincial,Zhejiang Province,True,general,[],[],"['Transportation, Storage & Postal Services']",[],['Information Collection'],"Regulates UAV safety, limited privacy protection",False,privacy/3_local_regulations/浙江省无人驾驶航空器公共安全管理规定(FBM-CLI.10.1516484).txt,privacy
"Shandong Provincial People's Congress Deputies' Proposals, Criticisms and Opinions Handling Regulations (2017 Amendment)",2002-01-01,provincial,Shandong Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/山东省人民代表大会代表建议、批评和意见办理...(FBM-CLI.10.1280405).txt,privacy
Decision of the Standing Committee of the Gansu Provincial People's Congress on Amending the Gansu Province Petition Regulations,2006-09-28,provincial,Gansu Province,False,general,"['Know & Decide', 'Access & Copy', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates petition handling and protects petitioners' privacy rights,False,privacy/3_local_regulations/甘肃省人民代表大会常务委员会关于修改《甘肃...(FBM-CLI.10.222729).txt,privacy
Jilin City Civilized Behavior Promotion Regulation,2020-06-30,city,Jilin City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/吉林市文明行为促进条例(FBM-CLI.10.1637834).txt,privacy
Ningbo City Medical Dispute Prevention and Handling Regulation (2020 Amendment),2011-08-31,city,Ningbo City,True,general,[],[],['Health & Social Work'],[],[],,False,privacy/3_local_regulations/宁波市医疗纠纷预防与处置条例(2020修正)(FBM-CLI.10.1624778).txt,privacy
Shanghai Environmental Protection Regulations (2017 Amendment),2016-10-01,city,Shanghai City,True,general,[],[],"['Water Conservancy, Environment & Public Facilities Management', 'Manufacturing', 'Transportation, Storage & Postal Services', 'Accommodation & Catering', 'Wholesale & Retail Trade', 'Agriculture, Forestry, Animal Husbandry & Fishery', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],[],,False,privacy/3_local_regulations/上海市环境保护条例(2017修正)(FBM-CLI.10.1535202).txt,privacy
Shenzhen Special Economic Zone Civilized Behavior Regulations (2020 Amendment),2020-04-29,city,Shenzhen City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/深圳经济特区文明行为条例(2020修正)(FBM-CLI.10.1591687).txt,privacy
Ordos City Peace Construction Regulation,2024-08-30,city,Ordos City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/鄂尔多斯市平安建设条例(FBM-CLI.10.7827955).txt,privacy
Liaoning Province Postal Regulations (2023 Amendment),2010-09-29,provincial,Liaoning Province,True,general,[],[],"['Transportation, Storage & Postal Services']",[],[],Regulates postal services and protects communication privacy,False,privacy/3_local_regulations/辽宁省邮政条例(2023修正)(FBM-CLI.10.7071967).txt,privacy
Quzhou City Home-based Elderly Care Service Regulation,2021-09-29,city,Quzhou City,True,general,[],[],"['Health & Social Work', 'Public Administration, Social Security & Social Organizations']",[],[],,False,privacy/3_local_regulations/衢州市居家养老服务条例(FBM-CLI.10.4286838).txt,privacy
Jiangsu Province Legal Aid Regulations (2005 Revision),2005-09-23,provincial,Jiangsu Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/江苏省法律援助条例(2005修订)(FBM-CLI.10.91955).txt,privacy
Shenzhen Special Economic Zone Household Service Industry Regulation,2001-03-22,city,Shenzhen City,True,general,[],[],"['Resident Services, Repair & Other Services']",[],[],,False,privacy/3_local_regulations/深圳经济特区家庭服务业条例(FBM-CLI.10.22042).txt,privacy
Shaanxi Provincial Postal Regulations (2012 Amendment),2010-10-01,provincial,Shaanxi Province,False,general,[],"['Security & Management', 'Incident Response & Notification']","['Transportation, Storage & Postal Services']",[],"['Information Processing', 'Information Dissemination']",Regulates postal services to protect communication privacy and security.,False,privacy/3_local_regulations/陕西省邮政条例(2012修正)(FBM-CLI.10.1602396).txt,privacy
Shenzhen Special Economic Zone Intelligent Connected Vehicle Management Regulations,2022-06-23,city,Shenzhen City,False,sensitive,"['Convenient Exercise & Remedy', 'Explanation']","['Security & Management', 'Incident Response & Notification', 'Local Representative', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Transportation, Storage & Postal Services', 'Manufacturing', 'Public Administration, Social Security & Social Organizations']","['Cross-Border Transfer', 'De-Identification']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates data security and privacy in intelligent connected vehicles,False,privacy/3_local_regulations/深圳经济特区智能网联汽车管理条例(FBM-CLI.10.5485917).txt,privacy
Shenzhen Special Economic Zone Civilized Behavior Regulations,2019-12-31,city,Shenzhen City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/深圳经济特区文明行为条例(FBM-CLI.10.1560166).txt,privacy
Shantou Special Economic Zone Village Affairs Disclosure Regulation,2014-04-24,city,Shantou City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/汕头经济特区村务公开条例(FBM-CLI.10.863240).txt,privacy
Xiamen Municipal Statistical Regulations,2005-11-19,city,Xiamen City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/厦门市统计规定(FBM-CLI.10.68320).txt,privacy
Shanghai Data Regulation,2021-11-25,city,Shanghai City,False,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Convenient Exercise & Remedy']","['Security & Management', 'Impact Assessment', 'Incident Response & Notification', 'Compliance Audits', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations', 'Education', 'Culture, Sports & Entertainment']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']","Regulates data processing, protects personal information rights.",True,privacy/3_local_regulations/上海市数据条例(FBM-CLI.10.4778830).txt,privacy
Chongqing Road Transport Management Regulations (2016 Amendment),2016-09-29,city,Chongqing City,True,general,[],[],"['Transportation, Storage & Postal Services']",[],[],,False,privacy/3_local_regulations/重庆市道路运输管理条例(2016修正)(FBM-CLI.10.4720480).txt,privacy
Measures for the Implementation of the Law on the Protection of Women's Rights and Interests of the People's Republic of China in Gansu Province,1994-08-03,provincial,Gansu Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/甘肃省实施《中华人民共和国妇女权益保障法》...(FBM-CLI.10.3481).txt,privacy
Qinghai Province Minor Protection Regulation,2012-07-27,provincial,Qinghai Province,False,sensitive,[],[],[],['Parental Consent for Minors'],[],Protects minors' rights including privacy and data,False,privacy/3_local_regulations/青海省未成年人保护条例(FBM-CLI.10.660483).txt,privacy
Jiangsu Province Lawyer Practice Regulations,1991-12-13,provincial,Jiangsu Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/江苏省律师执行职务条例(FBM-CLI.10.29019).txt,privacy
Jiangsu Province Volunteer Service Regulations,2007-03-30,provincial,Jiangsu Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/江苏省志愿服务条例(FBM-CLI.10.147985).txt,privacy
Regulations on Local Chronicles Work of Anhui Province,2007-02-28,provincial,Anhui Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/安徽省地方志工作条例(FBM-CLI.10.144293).txt,privacy
Regulations on the Promotion of Diversified Dispute Resolution Mechanisms in Xiamen Special Economic Zone,2015-04-01,city,Xiamen City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/厦门经济特区多元化纠纷解决机制促进条例(FBM-CLI.10.1055230).txt,privacy
Rules of Procedure of the Standing Committee of the Jiangsu Provincial People's Congress,2018-11-23,provincial,Jiangsu Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/江苏省人民代表大会常务委员会议事规则(FBM-CLI.10.1487996).txt,privacy
Xiamen Legal Aid Regulations (2004 Amendment),1999-11-09,city,Xiamen City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/厦门市法律援助条例(2004修正)(FBM-CLI.10.59679).txt,privacy
Chongqing Urban and Rural Residents Minimum Living Security Regulations (2016 Revision),2016-03-31,city,Chongqing City,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/重庆市城乡居民最低生活保障条例(2016修订)(FBM-CLI.10.1175660).txt,privacy
Measures for Special Inquiries by the Standing Committee of the Anhui Provincial People's Congress (2025 Revision),2025-01-15,provincial,Anhui Province,True,general,[],[],[],[],[],,False,privacy/3_local_regulations/安徽省人民代表大会常务委员会专题询问办法(...(FBM-CLI.10.8459007).txt,privacy
