title,date_enacted,legal_status,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,folder
Regulations on the Protection of Women's Rights and Interests in Jiangsu Province,28.03.2018,3_local_regulations,provincial,Jiangsu Province,FALSE,general,[],[],[],[],[],Promotes women's rights and gender equality.,FALSE,3_local_regulations/江苏省妇女权益保障条例(FBM-CLI.10.1444482).txt,privacy
Inner Mongolia Autonomous Region Fire Protection Regulations (2010 Revision),17.09.2010,3_local_regulations,provincial,Inner Mongolia Autonomous Region,TRUE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/内蒙古自治区消防条例(2010修订)(FBM-CLI.10.676979).txt,privacy
Decision of the Standing Committee of the Jiangsu Provincial People's Congress on Prohibiting Non-Medical Fetal Gender Identification and Selective Gender Termination of Pregnancy,31.05.2022,3_local_regulations,provincial,Jiangsu Province,FALSE,sensitive,"['Erasure', 'Know & Decide']","['Security & Management', 'Protection Officer']",['Health & Social Work'],['Parental Consent for Minors'],"['Information Collection', 'Information Processing']",Regulates fetal gender identification and abortion.,FALSE,3_local_regulations/江苏省人民代表大会常务委员会关于禁止非医学...(FBM-CLI.10.5126547).txt,privacy
Hunan Provincial Financial Supervision Regulations,02.12.2016,3_local_regulations,provincial,Hunan Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates financial supervision and data protection.,FALSE,3_local_regulations/湖南省财政监督条例(2016)(FBM-CLI.10.1243547).txt,privacy
Regulations on the Prevention and Handling of Personal Injury Accidents of Primary and Secondary School Students in Jiangsu Province,30.11.2006,3_local_regulations,provincial,Jiangsu Province,FALSE,general,[],[],['Education'],[],[],Regulates student safety and injury prevention.,FALSE,3_local_regulations/江苏省中小学生人身伤害事故预防与处理条例(FBM-CLI.10.115558).txt,privacy
Guangdong Province Family Education Promotion Regulations,25.03.2025,3_local_regulations,provincial,Guangdong Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Education', 'Health & Social Work']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Promotes family education and protects minors' rights.,FALSE,3_local_regulations/广东省家庭教育促进条例(FBM-CLI.10.8682749).txt,privacy
Regulations on Social Legal Consultation Services in Sichuan Province,14.10.1996,3_local_regulations,provincial,Sichuan Province,FALSE,general,[],"['Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Processing', 'Information Dissemination']",Regulates legal consultation services and privacy protection.,FALSE,3_local_regulations/四川省社会法律咨询服务条例(FBM-CLI.10.7178).txt,privacy
Henan Province Electricity Supply and Use Regulations,28.09.2012,3_local_regulations,provincial,Henan Province,FALSE,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],NA,FALSE,3_local_regulations/河南省供用电条例(FBM-CLI.10.1273876).txt,privacy
Taiyuan City Elderly Care Institutions Regulations,30.03.2016,3_local_regulations,provincial,Shanxi Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates elderly care institutions' operations and protections.,FALSE,3_local_regulations/太原市养老机构条例(FBM-CLI.10.1177672).txt,privacy
Regulations on Judicial Appraisal Management of Ningxia Hui Autonomous Region,24.03.2004,3_local_regulations,provincial,Ningxia Hui Autonomous Region,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits']",[],[],[],NA,FALSE,3_local_regulations/宁夏回族自治区司法鉴定管理条例(FBM-CLI.10.52280).txt,privacy
Measures for Implementing the National Security Law of the People's Republic of China in the Xinjiang Uygur Autonomous Region,27.05.2022,3_local_regulations,provincial,Xinjiang Uygur Autonomous Region,FALSE,general,[],"['Security & Management', 'Incident Response & Notification', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates national security and data protection.,FALSE,3_local_regulations/新疆维吾尔自治区实施《中华人民共和国国家安...(FBM-CLI.10.5126708).txt,privacy
Regulations on Road Traffic Safety in Heilongjiang Province (Revised in 2013),13.04.2007,3_local_regulations,provincial,Heilongjiang Province,TRUE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/黑龙江省道路交通安全条例(2013修正)(FBM-CLI.10.1539122).txt,privacy
Regulations on Road Traffic Safety in Heilongjiang Province (2018 Revision),26.04.2018,3_local_regulations,provincial,Heilongjiang Province,TRUE,general,[],[],"['Public Administration, Social Security & Social Organizations']",[],[],NA,FALSE,3_local_regulations/黑龙江省道路交通安全条例(2018修正)(FBM-CLI.10.1539123).txt,privacy
Inner Mongolia Autonomous Region Postal Regulations,16.11.2011,3_local_regulations,provincial,Inner Mongolia Autonomous Region,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],"['Information Processing', 'Information Dissemination']",Regulates postal services and user rights.,FALSE,3_local_regulations/内蒙古自治区邮政条例(FBM-CLI.10.558219).txt,privacy
Hebei Province Urban and Rural Planning Regulations (2016 Revision),25.05.2016,3_local_regulations,provincial,Hebei Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/河北省城乡规划条例(2016修订)(FBM-CLI.10.1190949).txt,privacy
Implementation Measures of the Blood Donation Law of the People's Republic of China in Hunan Province,30.09.2006,3_local_regulations,provincial,Hunan Province,FALSE,sensitive,"['Erasure', 'Explanation']","['Security & Management', 'Incident Response & Notification']",['Health & Social Work'],['Parental Consent for Minors'],"['Information Collection', 'Information Processing']",Regulates blood donation and protects donor privacy.,FALSE,3_local_regulations/湖南省实施《中华人民共和国献血法》办法(FBM-CLI.10.111546).txt,privacy
Regulations for Implementing the Fire Protection Law of the People's Republic of China in Ningxia Hui Autonomous Region (2020 Revision),25.11.2020,3_local_regulations,provincial,Ningxia Hui Autonomous Region,TRUE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/宁夏回族自治区实施《中华人民共和国消防法》...(FBM-CLI.10.4862126).txt,privacy
Ningxia Hui Autonomous Region Audit Supervision Regulations (2023 Revision),30.11.2023,3_local_regulations,provincial,Ningxia Hui Autonomous Region,FALSE,general,[],['Security & Management'],"['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulations for audit supervision and data protection.,FALSE,3_local_regulations/宁夏回族自治区审计监督条例(2023修正)(FBM-CLI.10.7328329).txt,privacy
Liaoning Province Telecommunications Management Regulations (2004 Revision),30.06.2004,3_local_regulations,provincial,Liaoning Province,FALSE,general,[],[],"['Information Transmission, Software & IT Services']",[],[],NA,FALSE,3_local_regulations/辽宁省电信管理条例(2004修正)(FBM-CLI.10.60189).txt,privacy
Regulations on Prohibiting Non-Medical Gender Identification and Selective Termination of Pregnancy in Anhui Province,29.06.2006,3_local_regulations,provincial,Anhui Province,FALSE,general,[],[],['Health & Social Work'],[],[],Regulates gender identification and pregnancy termination.,FALSE,3_local_regulations/安徽省禁止非医学需要鉴定胎儿性别和选择性别...(FBM-CLI.10.5077945).txt,privacy
Wuhan Legal Aid Regulations (2021 Revision),22.01.2021,3_local_regulations,provincial,Hubei Province,FALSE,general,[],"['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",[],[],Regulations for legal aid services in Wuhan.,FALSE,3_local_regulations/武汉市法律援助条例(2021修正)(FBM-CLI.10.1696469).txt,privacy
Sichuan Province Medical Institution Management Regulations (2022 Revision),02.12.2022,3_local_regulations,provincial,Sichuan Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],"['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates medical institutions to protect patient privacy.,FALSE,3_local_regulations/四川省医疗机构管理条例(2022修订)(FBM-CLI.10.5671963).txt,privacy
Implementation Measures of the Consumer Rights Protection Law of the People's Republic of China in Fujian Province (2021 Revision),01.04.2021,3_local_regulations,provincial,Fujian Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Consumer rights protection and obligations.,FALSE,3_local_regulations/福建省实施《中华人民共和国消费者权益保护法...(FBM-CLI.10.4071387).txt,privacy
Regulations on Promoting Information Technology in Xinjiang Uygur Autonomous Region,25.09.2009,3_local_regulations,provincial,Xinjiang Uygur Autonomous Region,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates information technology development and security.,FALSE,3_local_regulations/新疆维吾尔自治区信息化促进条例(FBM-CLI.10.359956).txt,privacy
Liaoning Province Administrative Law Enforcement Regulations (2011 Revision),24.11.2011,3_local_regulations,provincial,Liaoning Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']",[],[],"['Information Collection', 'Information Processing']",Regulates administrative law enforcement and protects rights.,FALSE,3_local_regulations/辽宁省行政执法条例(2011修正)(FBM-CLI.10.1588150).txt,privacy
Hunan Province Consumer Rights Protection Regulations (2017 Revision),27.05.2017,3_local_regulations,provincial,Hunan Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates consumer rights and personal information protection.,FALSE,3_local_regulations/湖南省消费者权益保护条例(2017修正)(FBM-CLI.10.1529354).txt,privacy
Inner Mongolia Autonomous Region Postal Regulations (2022 Revision),23.11.2022,3_local_regulations,provincial,Inner Mongolia Autonomous Region,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates postal services and user rights.,FALSE,3_local_regulations/内蒙古自治区邮政条例(2022修正)(FBM-CLI.10.5668934).txt,privacy
Ningxia Hui Autonomous Region Social Credit Regulations,30.11.2023,3_local_regulations,provincial,Ningxia Hui Autonomous Region,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates social credit and personal data protection.,FALSE,3_local_regulations/宁夏回族自治区社会信用条例(FBM-CLI.10.7296382).txt,privacy
Regulations on the Management of Inspection Institutions in Zhejiang Province (Revised in 2015),04.12.2015,3_local_regulations,provincial,Zhejiang Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],[],NA,FALSE,3_local_regulations/浙江省检验机构管理条例(2015修正)(FBM-CLI.10.1146907).txt,privacy
Guizhou Province Big Data Development and Application Promotion Regulations,15.01.2016,3_local_regulations,provincial,Guizhou Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']",['Cross-Border Transfer'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulations to promote big data application and security.,FALSE,3_local_regulations/贵州省大数据发展应用促进条例(FBM-CLI.10.1156403).txt,privacy
Regulations on the Protection of Tourists' Rights in Jiangxi Province,27.11.2019,3_local_regulations,provincial,Jiangxi Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Accommodation & Catering', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Protects tourists' rights and personal information.,FALSE,3_local_regulations/江西省旅游者权益保护条例(FBM-CLI.10.1553782).txt,privacy
Sichuan Provincial Financial Supervision Regulations,30.05.2013,3_local_regulations,provincial,Sichuan Province,TRUE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/四川省财政监督条例(FBM-CLI.10.740000).txt,privacy
Regulations on Promoting Civilized Behavior in Yanbian Korean Autonomous Prefecture,28.09.2021,3_local_regulations,provincial,Jilin Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/延边朝鲜族自治州文明行为促进条例(FBM-CLI.10.4781854).txt,privacy
Zhejiang Province Legal Aid Regulations (Revised in 2005),29.07.2005,3_local_regulations,provincial,Zhejiang Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/浙江省法律援助条例(2005修正)(FBM-CLI.10.65022).txt,privacy
Regulations on the Red Cross Society of Yunnan Province,27.03.2024,3_local_regulations,provincial,Yunnan Province,FALSE,general,[],[],[],[],[],Regulates humanitarian activities and support.,FALSE,3_local_regulations/云南省红十字会条例(2024)(FBM-CLI.10.7434305).txt,privacy
Chongqing Women's Rights Protection Regulations,16.04.1996,3_local_regulations,provincial,Chongqing,FALSE,general,[],[],[],[],[],Protects women's rights and promotes gender equality.,FALSE,3_local_regulations/重庆市妇女权益保障条例(FBM-CLI.10.11374).txt,privacy
Qinghai Province Legal Aid Regulations,21.11.2001,3_local_regulations,provincial,Qinghai Province,FALSE,general,[],"['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates legal aid services for citizens.,FALSE,3_local_regulations/青海省法律援助条例(FBM-CLI.10.37000).txt,privacy
Regulations on Lawyers' Execution of Duties in Shandong Province,15.03.1991,3_local_regulations,provincial,Shandong Province,FALSE,general,[],"['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates lawyers' duties and responsibilities.,FALSE,3_local_regulations/山东省律师执行职务的规定(FBM-CLI.10.1616).txt,privacy
Jilin Province Big Data Regulation (2023 Revision),01.12.2023,3_local_regulations,provincial,Jilin Province,FALSE,general,"['Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates data processing and individual rights.,TRUE,3_local_regulations/吉林省大数据条例(2023修订)(FBM-CLI.10.7296185).txt,privacy
Hebei Province Anti-Domestic Violence Regulations (2022 Revision),29.11.2022,3_local_regulations,provincial,Hebei Province,FALSE,general,[],[],[],[],[],Regulations to prevent and address domestic violence.,FALSE,3_local_regulations/河北省反家庭暴力条例(2022修订)(FBM-CLI.10.5663321).txt,privacy
Regulations on the Management of Auxiliary Police Personnel of Public Security Organs in Yunnan Province,31.05.2024,3_local_regulations,provincial,Yunnan Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/云南省公安机关警务辅助人员管理条例(FBM-CLI.10.7545178).txt,privacy
Guizhou Province Contract Supervision Regulations,25.09.2009,3_local_regulations,provincial,Guizhou Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates contract supervision and protects rights.,FALSE,3_local_regulations/贵州省合同监督条例(FBM-CLI.10.342474).txt,privacy
Hubei Province Informatization Regulations,31.07.2009,3_local_regulations,provincial,Hubei Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/湖北省信息化条例(FBM-CLI.10.325169).txt,privacy
Hunan Province Statistical Management Regulations (2020 Revision),25.09.2020,3_local_regulations,provincial,Hunan Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates statistical data management and privacy.,FALSE,3_local_regulations/湖南省统计管理条例(2020修正)(FBM-CLI.10.4066320).txt,privacy
Regulations on Social Credit in Guangdong Province,18.03.2021,3_local_regulations,provincial,Guangdong Province,FALSE,general,"['Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates social credit information management.,FALSE,3_local_regulations/广东省社会信用条例(FBM-CLI.10.1705324).txt,privacy
Regulations on the Development of Big Data in Anhui Province,26.03.2021,3_local_regulations,provincial,Anhui Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates big data development and personal data protection.,FALSE,3_local_regulations/安徽省大数据发展条例(FBM-CLI.10.1706502).txt,privacy
Hubei Province Contract Supervision Regulations (2019 Revision),29.11.2019,3_local_regulations,provincial,Hubei Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/湖北省合同监督条例(2019修正)(FBM-CLI.10.1604604).txt,privacy
Sichuan Provincial Mental Health Regulations,29.05.2024,3_local_regulations,provincial,Sichuan Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],['Parental Consent for Minors'],"['Information Collection', 'Information Processing', 'Information Dissemination']",Protects mental health patients' rights.,FALSE,3_local_regulations/四川省精神卫生条例(FBM-CLI.10.7555462).txt,privacy
Regulations on the Filing and Review of Normative Documents by the Standing Committee of the People's Congress at All Levels in Chongqing (2024 Revision),28.03.2024,3_local_regulations,provincial,Chongqing,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/重庆市各级人民代表大会常务委员会规范性文件...(FBM-CLI.10.7438790).txt,privacy
Decision of the Standing Committee of the Shandong Provincial People's Congress on Strengthening the Prevention and Control of the Novel Coronavirus Pneumonia Epidemic in accordance with the Law,13.02.2020,3_local_regulations,provincial,Shandong Province,FALSE,general,[],[],[],[],[],Strengthens epidemic prevention and control measures.,FALSE,3_local_regulations/山东省人民代表大会常务委员会关于依法加强新...(FBM-CLI.10.1565970).txt,privacy
Regulations on the Management of Confiscated and Seized Property in Heilongjiang Province (2022),13.05.2022,3_local_regulations,provincial,Heilongjiang Province,FALSE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/黑龙江省罚没和扣押财物管理条例(2022)(FBM-CLI.10.5103860).txt,privacy
Regulations on Ensuring Lawyers' Execution of Duties in Hebei Province,12.10.1991,3_local_regulations,provincial,Hebei Province,FALSE,general,[],['Security & Management'],"['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates lawyer duties and privacy protection.,FALSE,3_local_regulations/河北省保障律师执行职务条例(FBM-CLI.10.14033).txt,privacy
Jinhua City Home Care Service Regulations,28.10.2022,3_local_regulations,provincial,Zhejiang Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']",['Health & Social Work'],[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates home care services for the elderly.,FALSE,3_local_regulations/金华市居家养老服务条例(FBM-CLI.10.5677851).txt,privacy
Qinghai Province Postal Regulations (2022 Revision),29.11.2022,3_local_regulations,provincial,Qinghai Province,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulations for postal service and user protection.,FALSE,3_local_regulations/青海省邮政条例(2022修正)(FBM-CLI.10.5692247).txt,privacy
Regulations on Legal Aid in Guangdong Province (2016 Revision),26.02.2016,3_local_regulations,provincial,Guangdong Province,TRUE,general,[],[],[],[],[],Legal aid for economically disadvantaged citizens.,FALSE,3_local_regulations/广东省法律援助条例(2016修订)(FBM-CLI.10.1165700).txt,privacy
Regulations on Public Transportation Security Management of Jiangsu Province,14.01.2022,3_local_regulations,provincial,Jiangsu Province,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Transportation, Storage & Postal Services']",[],"['Information Collection', 'Information Processing']",Regulates public transportation security measures.,FALSE,3_local_regulations/江苏省公共交通治安管理条例(FBM-CLI.10.4851875).txt,privacy
Measures for Implementing the Supervision Law of the People's Congress of the People's Republic of China in Shaanxi Province,27.09.2007,3_local_regulations,provincial,Shaanxi Province,TRUE,general,[],[],[],[],[],NA,FALSE,3_local_regulations/陕西省实施《中华人民共和国各级人民代表大会...(FBM-CLI.10.184959).txt,privacy
Shandong Province Family Education Promotion Regulations,25.07.2024,3_local_regulations,provincial,Shandong Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Local Representative']",['Education'],['Parental Consent for Minors'],"['Information Collection', 'Information Processing']",Promotes family education and protects minors' rights.,FALSE,3_local_regulations/山东省家庭教育促进条例(FBM-CLI.10.7690483).txt,privacy
Jiangxi Province Telecommunications Regulations (2023 Revision),27.09.2023,3_local_regulations,provincial,Jiangxi Province,FALSE,general,"['Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Information Transmission, Software & IT Services']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates telecommunications and user data protection.,FALSE,3_local_regulations/江西省电信条例(2023修正)(FBM-CLI.10.7181657).txt,privacy
Rizhao City 12345 Government Service Convenience Hotline Regulations,28.10.2022,3_local_regulations,provincial,Shandong Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates hotline services and data protection.,FALSE,3_local_regulations/日照市12345政务服务便民热线条例(FBM-CLI.10.5699759).txt,privacy
Sichuan Province Legal Aid Regulations,22.09.2001,3_local_regulations,provincial,Sichuan Province,FALSE,general,[],"['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates legal aid services in Sichuan.,FALSE,3_local_regulations/四川省法律援助条例(FBM-CLI.10.25184).txt,privacy
Regulations on the Management of Cultural Markets in Anhui Province (Revised in 2006),29.06.2006,3_local_regulations,provincial,Anhui Province,FALSE,general,[],[],"['Culture, Sports & Entertainment']",[],[],NA,FALSE,3_local_regulations/安徽省文化市场管理条例(2006修订)(FBM-CLI.10.108691).txt,privacy
Regulations on the Red Cross Society of Shandong Province,09.06.2022,3_local_regulations,provincial,Shandong Province,FALSE,general,[],[],[],[],[],Regulates the operations of the Red Cross.,FALSE,3_local_regulations/山东省红十字会条例(FBM-CLI.10.5129416).txt,privacy
Regulations on Public Security Management of Special Industries in Guangxi Zhuang Autonomous Region (Revised in 2018),25.09.2014,3_local_regulations,provincial,Guangxi Zhuang Autonomous Region,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Accommodation & Catering', 'Wholesale & Retail Trade']",[],"['Information Collection', 'Information Processing']",Regulates security management in special industries.,FALSE,3_local_regulations/广西壮族自治区特种行业治安管理条例(2018修正)(FBM-CLI.10.1512856).txt,privacy
Regulations on Legal Aid in Guangxi Zhuang Autonomous Region (Revised in 2010),27.05.2010,3_local_regulations,provincial,Guangxi Zhuang Autonomous Region,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates legal aid services for citizens.,FALSE,3_local_regulations/广西壮族自治区法律援助条例(2010修订)(FBM-CLI.10.442100).txt,privacy
Regulations on Volunteer Service in Inner Mongolia Autonomous Region,28.09.2022,3_local_regulations,provincial,Inner Mongolia Autonomous Region,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates volunteer service and protects personal information.,FALSE,3_local_regulations/内蒙古自治区志愿服务条例(FBM-CLI.10.5577951).txt,privacy
Shandong Province Minor Protection Regulations (2023 Revision),26.07.2023,3_local_regulations,provincial,Shandong Province,FALSE,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Education', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulations to protect minors' rights and welfare.,FALSE,3_local_regulations/山东省未成年人保护条例(2023修订)(FBM-CLI.10.7081416).txt,privacy
Regulations on the Supervision and Management of Standard Contract Terms in Guangxi Zhuang Autonomous Region,24.07.2015,3_local_regulations,provincial,Guangxi Zhuang Autonomous Region,FALSE,general,[],"['Security & Management', 'Protection Officer']","['Public Administration, Social Security & Social Organizations']",[],[],Regulates standard contract terms to protect rights.,FALSE,3_local_regulations/广西壮族自治区合同格式条款监督管理条例(FBM-CLI.10.1102656).txt,privacy
Gansu Province Anti-Domestic Violence Regulations,30.05.2024,3_local_regulations,provincial,Gansu Province,FALSE,general,[],"['Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulations to prevent and address domestic violence.,FALSE,3_local_regulations/甘肃省反家庭暴力条例(FBM-CLI.10.7543473).txt,privacy
Hubei Province Administrative Law Enforcement Regulations (2015 Revision),23.09.2015,3_local_regulations,provincial,Hubei Province,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates administrative law enforcement and protects rights.,FALSE,3_local_regulations/湖北省行政执法条例(2015修正)(FBM-CLI.10.4218772).txt,privacy
